5324.986: [GC 5324.986: [ParNew: 1409387K->116530K(1415616K), 0.0538880 secs] 2285626K->1004875K(8231360K), 0.0542170 secs] [Times: user=0.56 sys=0.03, real=0.05 secs] 
5326.145: [GC 5326.145: [ParNew: 1374898K->135294K(1415616K), 0.1059670 secs] 2263243K->1048315K(8231360K), 0.1062750 secs] [Times: user=0.83 sys=0.07, real=0.11 secs] 
5327.500: [GC 5327.501: [ParNew: 1393662K->143192K(1415616K), 0.0523310 secs] 2306683K->1068037K(8231360K), 0.0526300 secs] [Times: user=0.59 sys=0.03, real=0.05 secs] 
5328.695: [GC 5328.696: [ParNew: 1401560K->157248K(1415616K), 0.0527530 secs] 2326405K->1093875K(8231360K), 0.0530490 secs] [Times: user=0.59 sys=0.03, real=0.06 secs] 
5329.949: [GC 5329.949: [ParNew: 1415616K->111156K(1415616K), 0.0945660 secs] 2352243K->1072885K(8231360K), 0.0948590 secs] [Times: user=0.63 sys=0.08, real=0.09 secs] 
5331.759: [GC 5331.759: [ParNew: 1369524K->136668K(1415616K), 0.0661990 secs] 2331253K->1115698K(8231360K), 0.0664940 secs] [Times: user=0.56 sys=0.05, real=0.06 secs] 
5333.540: [GC 5333.540: [ParNew: 1395036K->145733K(1415616K), 0.0669240 secs] 2374066K->1142059K(8231360K), 0.0672150 secs] [Times: user=0.51 sys=0.06, real=0.07 secs] 
5334.640: [GC 5334.640: [ParNew: 1404101K->104569K(1415616K), 0.0680480 secs] 2400427K->1117704K(8231360K), 0.0683450 secs] [Times: user=0.61 sys=0.05, real=0.07 secs] 
5336.131: [GC 5336.131: [ParNew: 1362937K->139136K(1415616K), 0.0684890 secs] 2376072K->1168200K(8231360K), 0.0688010 secs] [Times: user=0.61 sys=0.07, real=0.07 secs] 
5337.524: [GC 5337.524: [ParNew: 1397504K->142163K(1415616K), 0.0637010 secs] 2426568K->1187287K(8231360K), 0.0639920 secs] [Times: user=0.50 sys=0.05, real=0.07 secs] 
5339.121: [GC 5339.121: [ParNew: 1400531K->135858K(1415616K), 0.0689960 secs] 2445655K->1197966K(8231360K), 0.0692900 secs] [Times: user=0.58 sys=0.05, real=0.07 secs] 
5340.608: [GC 5340.608: [ParNew: 1394226K->130410K(1415616K), 0.0736850 secs] 2456334K->1209233K(8231360K), 0.0739730 secs] [Times: user=0.68 sys=0.05, real=0.07 secs] 
5341.660: [GC 5341.660: [ParNew: 1388778K->119626K(1415616K), 0.0768620 secs] 2467601K->1216353K(8231360K), 0.0771570 secs] [Times: user=0.65 sys=0.06, real=0.07 secs] 
5342.683: [GC 5342.683: [ParNew: 1377994K->117548K(1415616K), 0.0747810 secs] 2474721K->1231899K(8231360K), 0.0750700 secs] [Times: user=0.62 sys=0.06, real=0.07 secs] 
5344.193: [GC 5344.193: [ParNew: 1375916K->126598K(1415616K), 0.0717960 secs] 2490267K->1258540K(8231360K), 0.0720930 secs] [Times: user=0.57 sys=0.05, real=0.07 secs] 
5348.350: [GC 5348.350: [ParNew: 1384966K->129956K(1415616K), 0.0599670 secs] 2516908K->1276062K(8231360K), 0.0602670 secs] [Times: user=0.55 sys=0.05, real=0.07 secs] 
5353.929: [GC 5353.929: [ParNew: 1388324K->82152K(1415616K), 0.0469910 secs] 2534430K->1239880K(8231360K), 0.0472880 secs] [Times: user=0.41 sys=0.03, real=0.05 secs] 
5359.939: [GC 5359.939: [ParNew: 1340520K->114016K(1415616K), 0.0215890 secs] 2498248K->1271744K(8231360K), 0.0218910 secs] [Times: user=0.33 sys=0.00, real=0.02 secs] 
6103.129: [GC 6103.130: [ParNew: 1372383K->87981K(1415616K), 0.0204350 secs] 2530112K->1245710K(8231360K), 0.0207700 secs] [Times: user=0.29 sys=0.00, real=0.02 secs] 
6392.517: [GC 6392.518: [ParNew: 1346349K->124113K(1415616K), 0.0243370 secs] 2504078K->1281842K(8231360K), 0.0247300 secs] [Times: user=0.36 sys=0.00, real=0.03 secs] 
6402.147: [GC 6402.148: [ParNew: 1382481K->123836K(1415616K), 0.0479520 secs] 2540210K->1292539K(8231360K), 0.0483530 secs] [Times: user=0.48 sys=0.04, real=0.05 secs] 
6405.421: [GC 6405.421: [ParNew: 1382204K->148702K(1415616K), 0.0564130 secs] 2550907K->1329194K(8231360K), 0.0567630 secs] [Times: user=0.55 sys=0.04, real=0.06 secs] 
6412.518: [GC 6412.518: [ParNew: 1407070K->134524K(1415616K), 0.0868840 secs] 2587562K->1337567K(8231360K), 0.0872050 secs] [Times: user=0.62 sys=0.07, real=0.08 secs] 
6420.378: [GC 6420.378: [ParNew: 1392892K->141790K(1415616K), 0.0717780 secs] 2595935K->1362511K(8231360K), 0.0720880 secs] [Times: user=0.55 sys=0.05, real=0.07 secs] 
