0.392: [GC 0.392: [ParNew: 1984K->320K(2304K), 0.0075019 secs] 1984K->524K(7616K), 0.0075748 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
30.551: [GC 30.551: [ParNew: 7101K->497K(7616K), 0.0015301 secs] 22139K->16130K(24732K), 0.0016107 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
30.557: [GC 30.557: [ParNew: 6992K->614K(7616K), 0.0011806 secs] 22625K->16247K(24732K), 0.0012563 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
30.562: [GC 30.563: [ParNew: 7134K->221K(7616K), 0.0011366 secs] 22767K->16327K(24732K), 0.0011999 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.569: [GC 30.569: [ParNew: 6744K->489K(7616K), 0.0008954 secs] 22849K->16594K(24732K), 0.0009505 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.574: [GC 30.574: [ParNew: 6945K->313K(7616K), 0.0008659 secs] 23050K->16419K(24732K), 0.0009164 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.584: [GC 30.584: [ParNew: 6836K->284K(7616K), 0.0008103 secs] 22942K->16390K(24732K), 0.0008596 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.592: [GC 30.592: [ParNew: 6808K->290K(7616K), 0.0009247 secs] 22913K->16396K(24732K), 0.0009778 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
30.598: [GC 30.598: [ParNew: 6789K->817K(7616K), 0.0011668 secs] 22895K->16923K(24732K), 0.0012306 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
30.603: [GC 30.603: [ParNew: 7295K->407K(7616K), 0.0012400 secs] 23401K->16793K(24732K), 0.0013081 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.608: [GC 30.608: [ParNew: 6934K->757K(7616K), 0.0017969 secs] 23321K->17144K(24732K), 0.0018661 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.614: [GC 30.614: [ParNew: 7245K->585K(7616K), 0.0014123 secs] 23631K->17254K(24732K), 0.0014852 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.620: [GC 30.620: [ParNew: 7061K->690K(7616K), 0.0013089 secs] 23729K->17592K(24732K), 0.0013782 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.625: [GC 30.625: [ParNew: 7194K->157K(7616K), 0.0011542 secs]30.626: [Tenured: 17392K->9259K(17500K), 0.0725209 secs] 24096K->9259K(25116K), [Perm : 10699K->10699K(21248K)], 0.0740043 secs] [Times: user=0.07 sys=0.01, real=0.08 secs] 
30.703: [GC 30.703: [ParNew: 6492K->359K(7616K), 0.0008522 secs] 15752K->9619K(24732K), 0.0009042 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.708: [GC 30.708: [ParNew: 6885K->250K(7616K), 0.0008163 secs] 16145K->9510K(24732K), 0.0008735 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
30.713: [GC 30.713: [ParNew: 6774K->933K(7616K), 0.0012138 secs] 16034K->10193K(24732K), 0.0012798 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.718: [GC 30.718: [ParNew: 7445K->551K(7616K), 0.0015564 secs] 16705K->10514K(24732K), 0.0016396 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.727: [GC 30.728: [ParNew: 7079K->338K(7616K), 0.0012154 secs] 17042K->10623K(24732K), 0.0012789 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
30.733: [GC 30.733: [ParNew: 6842K->284K(7616K), 0.0014265 secs] 17127K->10569K(24732K), 0.0015081 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.739: [GC 30.739: [ParNew: 6811K->666K(7616K), 0.0009774 secs] 17096K->10951K(24732K), 0.0010358 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.744: [GC 30.744: [ParNew: 7176K->996K(7616K), 0.0017741 secs] 17461K->11504K(24732K), 0.0018485 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.750: [GC 30.750: [ParNew: 7514K->544K(7616K), 0.0015976 secs] 18022K->11834K(24732K), 0.0016696 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.755: [GC 30.756: [ParNew: 7008K->487K(7616K), 0.0013494 secs] 18298K->11777K(24732K), 0.0014268 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
30.761: [GC 30.761: [ParNew: 7006K->862K(7616K), 0.0012346 secs] 18296K->12152K(24732K), 0.0013073 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
30.766: [GC 30.766: [ParNew: 7381K->1066K(7616K), 0.0016615 secs] 18671K->12688K(24732K), 0.0017325 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
30.772: [GC 30.772: [ParNew: 7578K->316K(7616K), 0.0014557 secs] 19199K->12522K(24732K), 0.0015471 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.781: [GC 30.781: [ParNew: 6792K->304K(7616K), 0.0008306 secs] 18998K->12511K(24732K), 0.0008788 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.793: [GC 30.793: [ParNew: 6825K->499K(7616K), 0.0009276 secs] 19032K->12705K(24732K), 0.0009825 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.798: [GC 30.798: [ParNew: 7010K->445K(7616K), 0.0009504 secs] 19216K->12651K(24732K), 0.0010125 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
30.803: [GC 30.803: [ParNew: 6972K->556K(7616K), 0.0013512 secs] 19178K->12762K(24732K), 0.0014178 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.808: [GC 30.808: [ParNew: 7080K->567K(7616K), 0.0011618 secs] 19286K->12838K(24732K), 0.0012277 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
30.815: [GC 30.815: [ParNew: 7086K->1078K(7616K), 0.0015778 secs] 19357K->13587K(24732K), 0.0016919 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
30.821: [GC 30.821: [ParNew: 7598K->349K(7616K), 0.0014201 secs] 20108K->13628K(24732K), 0.0014906 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
30.827: [GC 30.827: [ParNew: 6859K->720K(7616K), 0.0010074 secs] 20139K->13999K(24732K), 0.0010691 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
30.832: [GC 30.832: [ParNew: 7237K->457K(7616K), 0.0014639 secs] 20516K->14223K(24732K), 0.0015473 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.841: [GC 30.841: [ParNew: 6980K->886K(7616K), 0.0013583 secs] 20746K->14652K(24732K), 0.0014545 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.850: [GC 30.850: [ParNew: 7382K->545K(7616K), 0.0017845 secs] 21148K->14745K(24732K), 0.0018756 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
30.856: [GC 30.856: [ParNew: 7069K->563K(7616K), 0.0011726 secs] 21269K->14763K(24732K), 0.0012474 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
30.862: [GC 30.862: [ParNew: 7081K->272K(7616K), 0.0011446 secs] 21281K->14805K(24732K), 0.0012079 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.867: [GC 30.867: [ParNew: 6799K->994K(7616K), 0.0012144 secs] 21332K->15527K(24732K), 0.0012827 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
30.873: [GC 30.873: [ParNew: 7481K->729K(7616K), 0.0015632 secs] 22013K->15999K(24732K), 0.0016428 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.879: [GC 30.879: [ParNew: 7242K->432K(7616K), 0.0013184 secs] 22512K->16192K(24732K), 0.0013878 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.886: [GC 30.886: [ParNew: 6957K->254K(7616K), 0.0010223 secs] 22718K->16014K(24732K), 0.0010811 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.891: [GC 30.891: [ParNew: 6710K->642K(7616K), 0.0011496 secs] 22471K->16403K(24732K), 0.0013904 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.897: [GC 30.898: [ParNew: 7144K->282K(7616K), 0.0010945 secs] 22904K->16325K(24732K), 0.0011663 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
30.904: [GC 30.904: [ParNew: 6770K->362K(7616K), 0.0008072 secs] 22813K->16406K(24732K), 0.0008585 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.909: [GC 30.909: [ParNew: 6850K->284K(7616K), 0.0010166 secs] 22893K->16328K(24732K), 0.0010688 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.916: [GC 30.917: [ParNew: 6807K->614K(7616K), 0.0012526 secs] 22851K->16658K(24732K), 0.0013157 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.923: [GC 30.923: [ParNew: 7111K->844K(7616K), 0.0015339 secs] 23154K->17059K(24732K), 0.0016037 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.930: [GC 30.931: [ParNew: 7346K->502K(7616K), 0.0016092 secs] 23560K->17082K(24732K), 0.0016920 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.937: [GC 30.937: [ParNew: 7030K->727K(7616K), 0.0018483 secs] 23610K->17307K(24732K), 0.0019237 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
30.944: [GC 30.944: [ParNew: 7254K->684K(7616K), 0.0014065 secs] 23833K->17643K(24732K), 0.0014929 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.949: [GC 30.950: [ParNew: 7204K->577K(7616K), 0.0012943 secs]30.951: [Tenured: 17183K->8207K(17308K), 0.0788871 secs] 24163K->8207K(24924K), [Perm : 10699K->10699K(21248K)], 0.0804294 secs] [Times: user=0.08 sys=0.00, real=0.08 secs] 
31.034: [GC 31.034: [ParNew: 6435K->310K(7616K), 0.0008268 secs] 14643K->8518K(24732K), 0.0008805 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.040: [GC 31.040: [ParNew: 6778K->477K(7616K), 0.0014336 secs] 14986K->8685K(24732K), 0.0015117 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.045: [GC 31.045: [ParNew: 6965K->731K(7616K), 0.0014303 secs] 15173K->8939K(24732K), 0.0015164 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.050: [GC 31.051: [ParNew: 7248K->587K(7616K), 0.0011743 secs] 15456K->9031K(24732K), 0.0013704 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.056: [GC 31.056: [ParNew: 7107K->354K(7616K), 0.0011501 secs] 15552K->9006K(24732K), 0.0012135 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.062: [GC 31.062: [ParNew: 6856K->302K(7616K), 0.0006823 secs] 15508K->8954K(24732K), 0.0007292 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.068: [GC 31.068: [ParNew: 6829K->683K(7616K), 0.0010123 secs] 15480K->9335K(24732K), 0.0010916 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
31.073: [GC 31.073: [ParNew: 7151K->130K(7616K), 0.0013365 secs] 15803K->9255K(24732K), 0.0014120 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.078: [GC 31.078: [ParNew: 6641K->249K(7616K), 0.0010740 secs] 15767K->9375K(24732K), 0.0011568 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.083: [GC 31.084: [ParNew: 6686K->340K(7616K), 0.0008424 secs] 15812K->9466K(24732K), 0.0008950 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.090: [GC 31.090: [ParNew: 6862K->933K(7616K), 0.0013938 secs] 15987K->10058K(24732K), 0.0014761 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.096: [GC 31.096: [ParNew: 7432K->252K(7616K), 0.0015746 secs] 16557K->10276K(24732K), 0.0016460 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.102: [GC 31.102: [ParNew: 6763K->543K(7616K), 0.0009788 secs] 16787K->10567K(24732K), 0.0010357 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.107: [GC 31.107: [ParNew: 7047K->468K(7616K), 0.0009017 secs] 17071K->10492K(24732K), 0.0009546 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.112: [GC 31.112: [ParNew: 6994K->440K(7616K), 0.0010560 secs] 17017K->10463K(24732K), 0.0011168 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.120: [GC 31.120: [ParNew: 6968K->276K(7616K), 0.0009749 secs] 16991K->10299K(24732K), 0.0010313 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.125: [GC 31.125: [ParNew: 6802K->708K(7616K), 0.0011042 secs] 16826K->10731K(24732K), 0.0011677 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.130: [GC 31.130: [ParNew: 7194K->922K(7616K), 0.0017327 secs] 17217K->11131K(24732K), 0.0018108 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.137: [GC 31.137: [ParNew: 7418K->407K(7616K), 0.0017384 secs] 17627K->11456K(24732K), 0.0018203 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
31.144: [GC 31.144: [ParNew: 6930K->594K(7616K), 0.0010953 secs] 17979K->11643K(24732K), 0.0011697 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.149: [GC 31.149: [ParNew: 7104K->581K(7616K), 0.0013451 secs] 18152K->11924K(24732K), 0.0014135 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.156: [GC 31.156: [ParNew: 7048K->522K(7616K), 0.0009979 secs] 18391K->11935K(24732K), 0.0010725 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.163: [GC 31.164: [ParNew: 7041K->650K(7616K), 0.0009047 secs] 18454K->12062K(24732K), 0.0009637 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.168: [GC 31.168: [ParNew: 7176K->419K(7616K), 0.0012213 secs] 18589K->12072K(24732K), 0.0012857 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.176: [GC 31.176: [ParNew: 6909K->635K(7616K), 0.0011303 secs] 18562K->12288K(24732K), 0.0012085 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.182: [GC 31.182: [ParNew: 7148K->478K(7616K), 0.0016956 secs] 18801K->12417K(24732K), 0.0017629 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.189: [GC 31.189: [ParNew: 6989K->485K(7616K), 0.0009157 secs] 18929K->12425K(24732K), 0.0009674 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.195: [GC 31.195: [ParNew: 7013K->496K(7616K), 0.0011002 secs] 18953K->12435K(24732K), 0.0011592 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.200: [GC 31.200: [ParNew: 6992K->1066K(7616K), 0.0017589 secs] 18932K->13045K(24732K), 0.0018285 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.207: [GC 31.207: [ParNew: 7587K->284K(7616K), 0.0013953 secs] 19566K->13061K(24732K), 0.0014800 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
31.213: [GC 31.213: [ParNew: 6768K->518K(7616K), 0.0009555 secs] 19545K->13296K(24732K), 0.0010138 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.219: [GC 31.219: [ParNew: 7021K->733K(7616K), 0.0010618 secs] 19799K->13510K(24732K), 0.0011412 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.224: [GC 31.224: [ParNew: 7220K->993K(7616K), 0.0014653 secs] 19997K->13852K(24732K), 0.0015374 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.230: [GC 31.230: [ParNew: 7503K->478K(7616K), 0.0017024 secs] 20362K->14089K(24732K), 0.0017730 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.236: [GC 31.236: [ParNew: 6941K->748K(7616K), 0.0013690 secs] 20552K->14360K(24732K), 0.0014598 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.243: [GC 31.243: [ParNew: 7274K->404K(7616K), 0.0017790 secs] 20885K->14358K(24732K), 0.0018784 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.249: [GC 31.249: [ParNew: 6908K->825K(7616K), 0.0015024 secs] 20862K->14780K(24732K), 0.0015834 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.255: [GC 31.256: [ParNew: 7263K->538K(7616K), 0.0016234 secs] 21217K->15036K(24732K), 0.0017200 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.261: [GC 31.261: [ParNew: 7039K->450K(7616K), 0.0010577 secs] 21537K->14948K(24732K), 0.0011208 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.267: [GC 31.267: [ParNew: 6963K->503K(7616K), 0.0011239 secs] 21461K->15001K(24732K), 0.0011903 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.273: [GC 31.273: [ParNew: 7004K->566K(7616K), 0.0010259 secs] 21502K->15065K(24732K), 0.0010952 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.279: [GC 31.279: [ParNew: 7094K->307K(7616K), 0.0009277 secs] 21593K->15085K(24732K), 0.0009856 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.284: [GC 31.284: [ParNew: 6825K->268K(7616K), 0.0008809 secs] 21603K->15046K(24732K), 0.0009264 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.290: [GC 31.290: [ParNew: 6770K->221K(7616K), 0.0009847 secs] 21548K->15000K(24732K), 0.0010390 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.295: [GC 31.295: [ParNew: 6730K->334K(7616K), 0.0010646 secs] 21508K->15113K(24732K), 0.0011215 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.301: [GC 31.301: [ParNew: 6851K->966K(7616K), 0.0015979 secs] 21630K->15744K(24732K), 0.0016848 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.308: [GC 31.308: [ParNew: 7457K->600K(7616K), 0.0012347 secs] 22236K->15909K(24732K), 0.0013006 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.314: [GC 31.314: [ParNew: 7117K->382K(7616K), 0.0009059 secs] 22427K->15842K(24732K), 0.0009697 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.319: [GC 31.319: [ParNew: 6894K->551K(7616K), 0.0010554 secs] 22354K->16011K(24732K), 0.0011181 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.324: [GC 31.324: [ParNew: 7048K->286K(7616K), 0.0009708 secs] 22508K->15911K(24732K), 0.0010300 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.329: [GC 31.329: [ParNew: 6778K->687K(7616K), 0.0010955 secs] 22404K->16313K(24732K), 0.0011571 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.335: [GC 31.335: [ParNew: 7185K->434K(7616K), 0.0011051 secs] 22811K->16199K(24732K), 0.0011650 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.340: [GC 31.341: [ParNew: 6952K->804K(7616K), 0.0012191 secs] 22717K->16569K(24732K), 0.0012819 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.347: [GC 31.347: [ParNew: 7321K->433K(7616K), 0.0010704 secs] 23086K->16532K(24732K), 0.0011503 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
31.356: [GC 31.356: [ParNew: 6958K->934K(7616K), 0.0014490 secs] 23057K->17033K(24732K), 0.0015576 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.362: [GC 31.362: [ParNew: 7439K->439K(7616K), 0.0016820 secs] 23537K->17307K(24732K), 0.0017539 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.369: [GC 31.369: [ParNew: 6947K->598K(7616K), 0.0010019 secs] 23814K->17465K(24732K), 0.0010689 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.375: [GC 31.375: [ParNew: 7105K->456K(7616K), 0.0008692 secs] 23972K->17423K(24732K), 0.0009297 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.381: [GC 31.381: [ParNew: 6962K->531K(7616K), 0.0010443 secs] 23929K->17498K(24732K), 0.0011142 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.388: [GC 31.388: [ParNew: 7026K->513K(7616K), 0.0009759 secs] 23993K->17480K(24732K), 0.0010429 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
31.394: [GC 31.394: [ParNew: 7036K->1004K(7616K), 0.0017092 secs] 24004K->17972K(24732K), 0.0017943 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.400: [GC 31.400: [ParNew: 7532K->172K(7616K), 0.0016272 secs]31.402: [Tenured: 17828K->9161K(17884K), 0.0711772 secs] 24500K->9161K(25500K), [Perm : 10706K->10706K(21248K)], 0.0732834 secs] [Times: user=0.07 sys=0.00, real=0.07 secs] 
31.479: [GC 31.479: [ParNew: 6527K->347K(7616K), 0.0008541 secs] 15689K->9508K(24732K), 0.0009218 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.484: [GC 31.484: [ParNew: 6859K->541K(7616K), 0.0010958 secs] 16020K->9702K(24732K), 0.0011662 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.491: [GC 31.491: [ParNew: 7021K->518K(7616K), 0.0013858 secs] 16182K->9679K(24732K), 0.0014663 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.496: [GC 31.496: [ParNew: 7023K->831K(7616K), 0.0012704 secs] 16185K->9992K(24732K), 0.0013372 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.501: [GC 31.501: [ParNew: 7312K->879K(7616K), 0.0016815 secs] 16474K->10538K(24732K), 0.0017600 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.510: [GC 31.510: [ParNew: 7368K->289K(7616K), 0.0016132 secs] 17027K->10631K(24732K), 0.0016863 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.517: [GC 31.517: [ParNew: 6790K->321K(7616K), 0.0007858 secs] 17132K->10663K(24732K), 0.0008379 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.522: [GC 31.523: [ParNew: 6848K->380K(7616K), 0.0011313 secs] 17190K->10722K(24732K), 0.0012198 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.528: [GC 31.528: [ParNew: 6907K->214K(7616K), 0.0007966 secs] 17249K->10556K(24732K), 0.0008451 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
31.532: [GC 31.532: [ParNew: 6681K->487K(7616K), 0.0011117 secs] 17023K->10829K(24732K), 0.0011834 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.537: [GC 31.537: [ParNew: 7004K->433K(7616K), 0.0019360 secs] 17346K->10775K(24732K), 0.0020087 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
31.543: [GC 31.543: [ParNew: 6946K->511K(7616K), 0.0009984 secs] 17288K->10854K(24732K), 0.0010731 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.548: [GC 31.548: [ParNew: 6986K->760K(7616K), 0.0014167 secs] 17328K->11102K(24732K), 0.0014981 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.555: [GC 31.555: [ParNew: 7169K->755K(7616K), 0.0013470 secs] 17511K->11322K(24732K), 0.0014353 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.560: [GC 31.561: [ParNew: 7282K->286K(7616K), 0.0013001 secs] 17849K->11208K(24732K), 0.0013642 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.566: [GC 31.566: [ParNew: 6745K->513K(7616K), 0.0010099 secs] 17668K->11435K(24732K), 0.0010680 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.571: [GC 31.571: [ParNew: 6993K->908K(7616K), 0.0014565 secs] 17916K->11830K(24732K), 0.0015292 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.578: [GC 31.578: [ParNew: 7425K->633K(7616K), 0.0014325 secs] 18348K->11997K(24732K), 0.0015219 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
31.584: [GC 31.584: [ParNew: 7136K->236K(7616K), 0.0011155 secs] 18500K->12152K(24732K), 0.0011884 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.589: [GC 31.589: [ParNew: 6740K->830K(7616K), 0.0012272 secs] 18656K->12746K(24732K), 0.0012942 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.595: [GC 31.595: [ParNew: 7294K->154K(7616K), 0.0013882 secs] 19210K->12602K(24732K), 0.0014566 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.600: [GC 31.600: [ParNew: 6638K->364K(7616K), 0.0008811 secs] 19087K->12812K(24732K), 0.0009361 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.605: [GC 31.605: [ParNew: 6805K->382K(7616K), 0.0008389 secs] 19254K->12830K(24732K), 0.0008923 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.610: [GC 31.610: [ParNew: 6908K->431K(7616K), 0.0009841 secs] 19356K->12880K(24732K), 0.0010404 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.614: [GC 31.615: [ParNew: 6956K->707K(7616K), 0.0017115 secs] 19404K->13155K(24732K), 0.0017866 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.620: [GC 31.620: [ParNew: 7215K->494K(7616K), 0.0012859 secs] 19663K->13167K(24732K), 0.0013556 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.627: [GC 31.627: [ParNew: 7008K->657K(7616K), 0.0011337 secs] 19681K->13330K(24732K), 0.0012083 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
31.632: [GC 31.632: [ParNew: 7164K->385K(7616K), 0.0011690 secs] 19837K->13324K(24732K), 0.0012344 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.638: [GC 31.638: [ParNew: 6910K->719K(7616K), 0.0015939 secs] 19849K->13658K(24732K), 0.0016660 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.644: [GC 31.644: [ParNew: 7211K->417K(7616K), 0.0013761 secs] 20149K->13662K(24732K), 0.0014662 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.652: [GC 31.652: [ParNew: 6940K->372K(7616K), 0.0018379 secs] 20185K->13617K(24732K), 0.0019403 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.659: [GC 31.659: [ParNew: 6900K->592K(7616K), 0.0010040 secs] 20145K->13837K(24732K), 0.0010632 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.665: [GC 31.665: [ParNew: 7114K->453K(7616K), 0.0010044 secs] 20358K->13750K(24732K), 0.0010795 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.671: [GC 31.672: [ParNew: 6954K->986K(7616K), 0.0014532 secs] 20251K->14559K(24732K), 0.0015397 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.677: [GC 31.677: [ParNew: 7481K->202K(7616K), 0.0016053 secs] 21054K->14448K(24732K), 0.0016773 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
31.683: [GC 31.683: [ParNew: 6699K->528K(7616K), 0.0010903 secs] 20945K->14774K(24732K), 0.0011679 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
